1st_sentence_with_keyword,sentence_annotation,prediction,partition
"My Lords, with the leave of the House, I will repeat a Statement made in another place by my right honourable friend the Home Secretary: “With permission, Mr Speaker, I would like to make a Statement about the UK’s future border and immigration system after we leave the EU.",3,3,test
"I will particularly focus today on the harm done to women who are denied access to public funds as a result of their immigration status As the law currently stands, most people who are subject to immigration control are restricted from accessing welfare benefits or housing through their council.",4,3,test
"However, the Minister knows that the draft text represents a major downgrade in support and rights for lone child and teen refugees.",3,3,train
"Today we have the opportunity of a debate on themes broader than our normal foreign affairs debates, which normally cover a specific region or particular theme.",3,3,test
"We would always prefer those with no right to be here to leave of their own volition, and a number of mechanisms in the Immigration Acts and the forthcoming immigration Bill are designed to promote that, but unfortunately it does not always happen.",3,3,test
"My Lords, first, if Ukrainians who are already here are students or have a work visa, their visas will expire at some point.",3,4,validation
We heard the figures earlier for the quota that is held: 29% of the UK fishing quota is owned or controlled by just five families; 49% of the English quota is held by companies based overseas; and the majority of UK fishing boats—79% of which are small-scale—hold only 20% of the UK quota.,3,3,test
"Those who turned out on Clapham common did so for a vigil but ended up being driven off the common by the police, who saw it as an illegal demonstration.",3,3,test
The Bill raises important issues on the control of immigration to the UK.,2,3,validation
It is not just the asylum system that is broken; it is also the immigration enforcement system.,2,2,train
"Friend the Minister for Defence Procurement—he represents Horsham, where my wife has family, as he knows—demonstrates the integrated nature of this review, as we have both a Defence Minister and a Foreign, Commonwealth and Development Office Minister here.",4,3,test
"I am proud to come from Liverpool, a city built on immigration from all corners of the world, which has contributed to the diversity and vibrancy of our culture and history and is what makes Liverpool great and the best city in the world.",5,3,train
They account for more than half of the world’s nations where same-sex relations are illegal.,3,2,test
"That is why we need a fair immigration system under which people can come here, be welcomed and become part of our communities, and a fair system that treats people with decency and respect That is why this Government are taking action and will continue to do so.",5,3,test
"Gentleman has noticed, but pollution does not stop at national borders The most hallucinatory of the Eurosceptic nostalgics in the Tory party dream of a frictionless divorce with no real consequences, economic or otherwise—a trade deal swiftly done which grants the UK all the benefits of EU membership with none of the costs.",4,3,test
"Secondly, I will also be writing to her each month on the latest position on detentions, removals and deportations.",3,3,validation
"It means that people smugglers could face a life behind bars, and the hon.",2,3,test
"I will feed that back to them when I get back to Ashfield this weekend We have always been a welcoming and tolerant country that has reached out to genuine refugees from all over the world, but just like Janis’s family in Ashfield, most people in the UK do not accept that people travelling here from France in dinghies are genuine asylum seekers—[Interruption.]",4,4,validation
"Is that the extent of the Government’s ambition The borders Bill summed up the failure of the Home Office, which is unable to properly process refugees’ applications, leaving them to wait years for proper and decent outcomes, and unable to create safe and legal routes for refugees, of which there are none at the moment for the vast majority of people in the world—none, in fact, for anyone outside Afghanistan and Ukraine.",3,3,train
"First, we cannot underestimate the administrative difficulties faced by many in the Windrush generation, and indeed people from other Commonwealth countries who came here prior to 1971, in proving their citizenship to the Home Office.",3,3,test
"With permission, Mr Speaker, I will make a statement on the United Kingdom’s approach to the global migration challenge The United Kingdom has a long and proud history of offering sanctuary to refugees.",4,4,train
"Then, there was the great retreat from that position in his pre-Christmas immigration speech.",3,3,train
"In the year ending in March 2015, 216,000 student visas were issued—roughly the same number as in the prior year.",3,3,test
"My Lords, unless action is taken now, the arrival of 2021 will see child refugees in Europe lose safe and legal routes to the UK since neither a right to family reunion nor access to the Dubs scheme, under which lone children had a legal route to sanctuary in the UK, will then be available.",4,3,test
"The noble Lord, Lord Parekh, if I heard him aright, referred to a national psychosis The policy impinges on people who never expected to be affected by immigration policy.",3,3,test
