text,prediction
"The approach of the noble Lord, Lord Dubs, and the noble Baroness, Lady Hamwee, is to provide a safe and legal way to apply for asylum from abroad—for example, by applying to an embassy or some specific tribunal abroad But this simply would not work.",3
"Anyone who was refused or knew they would be refused asylum if they made such a claim would still have exactly the same incentive as now to enter the UK illegally by boat or on the back of a lorry, so it will not stop the boats attempting this perilous journey.",3
"If anything, it will add to the problem, since many more people will apply for asylum if such a simple route is established, with plausible claims that cannot be disproved, especially if we accord such claimants the same rights to legal aid, appeal and judicial review, and in the refugee convention, immigration Acts, human rights Acts, modern slavery Acts and so on.",3
"Remember, it is the better off who migrate from developing countries; the very poor cannot afford to and cannot pay the smugglers.",2
"All those things have made mass migration possible in a way that was not envisaged when those conventions were negotiated If anyone doubts the potential scale of those who would seek asylum if they could, without running any risk to themselves, look at the response to the United States diversity visa lottery.",3
"Every year, the US offers 50,000 visas to a different selection of countries that have no tradition of migration to the United States.",3
"In the last year for which I have the figures, 13% of the Albanian population, 7% of the Uzbek population, 8% of the population of Ghana, 14% of the population of Sierra Leone and 15% of the population of Liberia applied for those visas—in all, 20 million people from this small selection of countries to which they were made available.",3
"Similar numbers would undoubtedly want to live in Europe and the United Kingdom, if we gave people the chance to enter, at no costs to themselves, the lottery of our asylum seekers—and it is essentially a lottery I sincerely hope that the Nationality and Borders Bill will provide a way of removing the chief magnet that draws migrants across the channel at great risk, which is the virtual certainty that, once here, they will never be deported.",3
"The noble Lord, Lord Green, contrasted the people coming across the channel with what he called genuine refugees.",3
Can the Minister confirm the government figures that I have seen that say that the majority of people coming across the channel are granted refugee status?,3
"The noble Lord, Lord Lilley, quoted the number of applications for US visas from a significant number of countries.",3
A lot of our discussion in this debate focuses on what we can do to stop the boats.,3
"However, I go back to a bleak January day in 2016 when I went to the memorial service for a 15 year-old Afghan boy called Masud who died in the back of a lorry while trying to get across the channel to join his sister here in the UK In the year to that death, about a dozen refugees died trying to cross the channel in the back of boats, on trains and through other vehicles.",3
"Those routes, through a combination of Covid and government action, have essentially been closed off, so people have taken to the boats.",3
"If the Government could somehow just snap their fingers and stop the boats, desperate people who have ties to the UK, such as the Afghan soldier documented in the Times this morning, would still seek to come here.",3
"The odds are that those routes will become more and more dangerous, and, as several noble Lords have said—I associate myself with essentially everything said by the noble Lord, Lord Dubs, and the noble Baroness, Lady Hamwee—at great profit to nasty, illegal criminals There has been a lot of discussion about so-called pull-factors.",3
It is worth looking at what we actually do to the refugees who arrive here seeking to exercise the right to which they are entitled.,3
"I have no doubt that many more should be upheld Unlike many other countries, we do not allow people seeking asylum to work while their claims are being processed.",3
"What happened last night was a horrible example of the dangers of crossing in small boats, but, as other noble Lords have said, it was not the first such incident and it probably will not be the last There was a time when people smuggled themselves on passenger trains and freight trains and virtually killed the traffic across the channel at that time.",3
"Now, boats are used.",3
I can understand why the French authorities and local police are not very enthusiastic about looking after refugees and probably want shot of them.,3
"Having worked with French authorities all those years ago, I am convinced that if the Government and the French Government tried, there could be a very good joint policy and implementation to sort this out in a humanitarian way that does not involve people going across in small boats or smuggling themselves in lorries, but gives those who are justified in seeking asylum what they want.",4
"There are now joint statements from the Prime Minister and the President of France that they will work together, which is nice to see but they must deliver, at Calais and the other places along the coast, as well as in this country, and come up with a policy that is fair to everyone The noble Lord, Lord Lilley, commented that the only people who can afford to pay the smugglers are the middle classes.",3
"If some of them are having such a rough time in Syria, for example, that they seek asylum here, so be it, but we should not be poaching them.",3
"Around 56 years ago, I came here, not in a boat, and not as a refugee.",3
There has been nothing but constant complaints about immigration since—Powell and all that sort of stuff—but at the same time I have seen domestic political and social life transformed by the presence of immigrants.,3
"We have a serious prospect—not that I wish it because I love the Prime Minister, as does everybody else—of the next prime ministerial contest being between three or four immigrants, and nobody will bat an eyelid, yet we had a Conservative Member of Parliament complaining about grinning pickaninnies not all that long ago.",3
"We are still president of COP 26 and, as some noble Lords have said, we made commitments and accepted a solution to the coal question that will sink islands into the sea and create more refugees over the next 10 years.",3
"Let us take a positive attitude; let us share responsibility with NATO countries—or whichever countries they are—for the immigrants For example, the noble Lord, Lord Lilley, cited Albanians and others.",3
We have to change our minds as to what the positive role of immigration is.,2
The costs are borne by the immigrant and the benefits accrue to the country receiving them.,2
She talked about the serious problem with our immigration control.,3
"There were 84,132 asylum applications in 2002; in 2019, there were 35,737, as the noble Lord, Lord Kerr, said.",3
"In the year ending 21 June, asylum applications were 4% down on the previous year.",3
"In 2019, there were 680,000 long-term international immigrants into the United Kingdom, of which asylum seekers accounted for just 6%—just 6% of immigration to the UK was asylum seekers.",3
"I accept what the noble Baroness, Lady Fox of Buckley, says about public concern about immigration, but it is the 680,000 we should be looking at, not the 6% who are asylum seekers The noble Baroness, Lady Hoey, said that people want to come here because English is easier to learn.",3
"I found any foreign language other than English the most difficult language to learn, and other people probably think the same.",2
"Of course, if they did run away, they would have no chance at all of being granted asylum in the UK.",4
"Would it not be a good idea if we allowed them to work, and then they would become taxpayers The noble Baroness talked about the shortcomings of the Home Office, especially in the immigration section.",3
"In 2020, the UK had six asylum applications per 10,000 of population.",3
"I agree with the noble Baroness, Lady Fox of Buckley, that one of the benefits was supposed to be taking back control of our borders, yet EU citizens can still use the automatic gates—not only that, but the Government threw open the automatic gates at airports to another 10 countries.",3
"I know that you can take back control of your borders and then decide to throw them open, but I do not think that was quite the idea.",3
"One of the consequences is that we do not have Dublin III or the Schengen Information System, which showed us whether someone had made an application for asylum in another country, so there are downsides to Brexit.",3
"People must accept that this is the case The noble Lord, Lord Dubs, said that the majority of those seeking sanctuary are granted asylum by the Home Office because they are genuine asylum seekers.",3
"My noble friend Lady Hamwee said that most people crossing the channel have no choice, because they cannot claim asylum in the UK unless they are in the UK.",4
"The noble Lord, Lord Lilley, said that only the middle class and well-off can afford to migrate—that seems to contradict the argument that these people are economic migrants.",3
"He said that, once here, they will never be deported; I absolutely agree.",3
"The National Audit Office estimates that the number of illegal immigrants in the UK is between 600,000 and 1.2 million.",3
"As well as the large numbers involved, the fact that the range is between 600,000 and double that shows the lack of government control over immigration The right reverend Prelate the Bishop of Coventry said that we need to put the people smugglers out of business.",3
"The noble Lord, Lord Green of Deddington, talked about people smugglers.",3
"It is because there is no other way to claim asylum in the UK other than to come here illegally—there are no safe and legal routes at the moment, as the noble Lord, Lord Kerr, said.",3
The other alternative he mentioned—sealing the borders—is not possible.,3
"Looking at the length of the French and UK coastlines, you cannot seal the borders; we need a humanitarian alternative As the noble Lord, Lord Desai, said, let us celebrate the success of immigration.",3
"If our island is becoming overcrowded, let us turn the tap down on the 94% of immigration that is not asylum seekers The noble and right reverend Lord, Lord Harries of Pentregarth, talked about sharing the resettlement between areas of the UK.",3
We need to share the resettlement of asylum seekers across the globe.,2
"As has been said, it comes at a time when we have just seen a human tragedy in the English Channel—a reminder of the dangers of the channel and the fact that people’s lives are at risk every day in these makeshift, flimsy, small boats The number arriving in small boats remained relatively small until about two years ago.",3
"While clamping down on those coming in the back of lorries has been a factor, Brexit meant our exiting the Dublin III regulation, so the UK no longer has an agreement with any EU member state to return individuals who had set foot in those countries first prior to claiming asylum in the UK.",3
There just are not enough staff to process the asylum applications and this contributes to longer and longer wait times.,2
A better-resourced system could vet better and more quickly and progress cases through the system either to granting asylum or to enforced removal.,3
"It serves neither those making claims nor, indeed, the general public No doubt, those involved in human trafficking are aware that first, the UK has no extradition treaty to replace Dublin III and, secondly, that once here, individuals will be in the creaking system for some time, perhaps for more than a year or, indeed, several years I want also to repeat some of the figures that have already been quoted because, while asylum cases have increased recently, as have been said, asylum cases peaked at just over 84,000 in 2002, falling to just under 18,000 in 2010 before rising again to just above 35,500 in 2019.",3
"However, as has been pointed out, that figure is well below the 2002 one As has already been said, asylum seekers made up about 6% of all immigrants to the UK in 2019.",3
"While I think the figure mentioned was of 98% of those arriving by boat in the English Channel being recorded as claiming asylum, they are, in fact, largely people coming from war-torn countries rather than economic migrants, as we are sometimes led to believe According to other statistics from the Library, to which reference has already been made, the percentage refused at the first stage was at a high of 88% in 2004, falling to 59% in 2014, and again to 48% in 2019.",3
So 52% of all asylum applications are approved or accepted at the first stage.,3
"In 2020, there were six asylum applications for every 10,000 individuals in the UK; the EU 27 average is almost twice that, at 11 applications per 10,000 This is a serious problem.",2
"First, it does not best support asylum seekers, because those in genuine need of protection and support are left in a state of uncertainty longer than necessary.",3
"Secondly, those who are not bona fide asylum seekers are not best served by delaying their return, creating false hope.",3
"Thirdly, it badly lets down the public and their legitimate expectations of the system and arrangements The Home Secretary has been in post for more than two years, and has repeatedly committed to stopping channel crossings in small boats by making the route unviable.",3
"The reality is, of course, that we have seen unprecedented numbers making the journey in small boats, with a very high figure indeed for this year alone.",3
"I should be interested to know from the Government’s response today whether they believe they are getting value for money in what they are paying to the French or not, as there seems to be a degree of confusion in the comments made The reality is that we need meaningful action to support genuinely vulnerable people, to improve the somewhat chaotic and perhaps less than humane asylum system and, of course, to bring criminal gangs to justice.",3
"I wonder whether sufficient attention, despite what the Government maintain happens, is actually given to dealing with those gangs, who are the cause of the trouble, as opposed to various schemes to stop their victims—because that is what they are—who are left crossing the English Channel in small boats.",3
"It is far better, I should have thought, to deal with the problem at source, which is the criminal gangs who encourage those trips to be made and make considerable sums of money out of it We need improved support for victims of modern slavery and human trafficking and tougher sentences for perpetrators.",3
"The basis of our skills-based immigration system is that, if people have the skills to come here, we will welcome them.",2
We are a nation of immigrants.,2
"I presume that the noble Baroness, Lady Bennett, counts herself an immigrant.",3
"A good proportion of the people speaking in this debate are immigrants, as are half the Cabinet Secondly, I thank the noble Baroness, Lady Hoey, for securing this important debate on the issue of migrants arriving in the UK on small boats, which is a different point from that which the noble Lord, Lord Desai, makes.",3
We will go on shortly to further discuss the dreadful boat tragedy that we learned of yesterday.,3
"As the noble Baroness, Lady Hoey, my noble friend Lord Lilley and, I think, the noble Lord, Lord Green of Deddington, said, France is a safe country with a fully functioning asylum system, as are the other countries of Europe through which these people typically pass on their way to the UK.",4
"There is no need for those in need of refuge to make these hazardous journeys across the channel, because a safe route to asylum exists in Europe.",3
"Noble Lords will note that we have had a Syrian resettlement scheme over the last few years The point made by my noble friend Lord Lilley that the middle classes are the only ones who can afford to come is important, in terms of vulnerability and neediness, because the people who can afford to pay people smugglers are the ones most likely to get here.",3
"That the majority are male and between the ages of 18 and 34, although they might be skinny when they get here, is surely an indicator of vulnerability In recent decades, the institution of refuge has been abused by those who want to come to the UK for other reasons and who view asylum as a means to gain entry which would otherwise be denied to them.",3
"The phenomenon of using small boats to cross the channel, which we have seen grow since 2018, is merely the latest and most outward manifestation of a problem that the Home Office has had to deal with for many years: large numbers of people, mostly without documents—as the noble Baroness, Lady Hoey, said—travelling from the safe countries of Europe and seeking asylum in the UK To suggest that all these people have no haven in European countries and that they are driven into these perilous crossings by desperation is just not true.",3
"As the noble Lord, Lord Green of Deddington, said, these crossings are made for the same reason as applies to those hiding in lorries and containers or using fraudulent travel documents on passenger services: to evade our immigration system The noble Lords, Lord Kerr and Lord Dubs, asserted that we had closed the door and that this was why this situation has happened.",3
"In terms of Dubs, we met our commitment of 480 unaccompanied asylum-seeking children—the noble Baroness, Lady Bennett, might shake her head, but these are facts.",3
"We have issued 39,000 family reunion visas since 2015.",3
To say that we have closed the door is just not true We are clear that access to our asylum system should be based on need and not the ability to pay people smugglers.,3
It is the most comprehensive reform in decades to fix the broken asylum and illegal migration system.,3
"This country has a long tradition of welcoming those in need of sanctuary, but not everyone who wants to settle here can do so and those who do so must come here legally As the noble Baroness, Lady Hoey, said, based on her experience of visiting Dover, the brave and highly trained officers of Border Force, day in and day out, set out to sea in cutters and coastal patrol vessels to manage the small boats used by migrants to cross the channel.",3
That is why HM Coastguard and the Royal National Lifeboat Institution are involved in responding to these crossings: a life in danger at sea is a life that we will try to save if at all possible.,3
Border Force has also developed safe and legal maritime tactics to turn around migrant vessels and prevent crossings.,3
That is why we are pushing for the unconditional return of all those arriving by small boats to their country of embarkation as soon as possible.,3
That is the reason for the inadmissibility rules that have now come into force: they make it easier for us to return those who have arrived by small boats.,3
"We are now focused on agreement with France and other members of the EU to accept back those who have arrived in the UK by small boats, without condition.",3
The UK pledged to make a further financial investment of £54 million to tackle illegal migration and small boats.,3
We can confirm that the processes for French funding arrangements agreed in July to tackle illegal migration are in place.,3
"She will understand that I cannot go into any further detail than that In the meantime, those who arrive, claim asylum in the UK and are destitute have to be accommodated and supported while their cases are considered.",3
"We have a particular responsibility for the care and welfare of vulnerable unaccompanied children, and from this week local authorities have been notified that the national transfer scheme has been temporarily mandated to ensure that unaccompanied asylum- seeking children receive the critical care, support and accommodation that they need upon their arrival I will go into further detail on that for the benefit of the noble Lord, Lord Dubs, and others.",3
"In 2020—this goes to the point made by the noble Lord, Lord Kerr; he and I are always disagreeing on this—the UK received the second highest number of asylum applications from unaccompanied children, 2,773, out of all the EU-plus countries.",3
"As I said earlier, more than 39,000 family reunion visas have been granted since 2015 I have talked about the support that the UK has funded.",3
"It strengthens security infrastructure, making it more difficult for crossings to be attempted, and supports migrants into the French asylum system, giving them a safe and legal alternative to the dangerous and unnecessary crossings A noble Lord asked me about French interceptions.",3
"They are active in their efforts to prevent these crossings, but they are increasingly being met by violence from people smugglers and migrants, emphasising that not all those who are making these crossings are vulnerable victims.",3
"As French preventive efforts bite, we have seen the people smugglers operate from ever-greater stretches of coastline, using bigger boats, carrying more migrants and taking greater risks.",3
"That is why we are redoubling our efforts to provide support An asylum system should provide a safe haven to those fleeing persecution, oppression or tyranny.",3
"I have talked about our proud record, but, as the title of this debate suggests, we now need to stop the dangerous, illegal and unnecessary small boat crossings of the channel, control our borders and return those with no right to be in our country In terms of financial support for councils which take migrants, local councils and health partners who resettle families will receive up to £4,500 per child for education, £850 to cover English language provision for adults requiring this support, and £2,600 to cover healthcare Sorry, this is slightly out of sync, but 273 asylum-related returns were concluded in the year ending June 2021, which, considering Covid, shows that we are making returns.",3
Security is the number one reason for border control.,2
"People arriving by small boats are subject to stringent checks immediately upon arrival in the UK, and again as they are processed into the asylum system The Government’s commitment to reforming our immigration and asylum system is being delivered, as I said, through our new plan for immigration and its centrepiece, the Nationality and Borders Bill.",3
The plan has three objectives: increasing the fairness and efficiency of our system so that we can better protect and support those in genuine need of asylum; deterring illegal entry into the UK; and removing more easily from the UK those with no right to be here.,3
"Our long-term plan will prioritise bringing over the most vulnerable, deterring illegal migration and creating an effective sanction where there are no relevant mitigating circumstances.",3
I have offered to work with France to put more boots on the ground and do whatever is necessary to secure the area so that vulnerable people do not risk their lives by getting into unseaworthy boats There is a global illegal migration crisis.,3
We are also seeing it play out on several land borders in Europe and in the Mediterranean Sea.,3
"The United Kingdom has a generous, humane approach to asylum seekers and refugees.",4
"Yes, people should come here legally and the system must be fair, but the main issue is this: crossing the channel in a small boat is extremely dangerous.",2
"They threaten, bully and assault the people who get in these boats, and have absolutely no regard for human life.",2
"We simply have to break their business model and bring them to justice The Government’s new plan for immigration, which will be put into law through the Nationality and Borders Bill, is a long-term solution to deterring illegal migration and addressing underlying pull factors in the UK’s asylum system.",3
"It will bring in a range of new measures, including: a one-stop appeals process; the ability to process claims outside the country; the ability to declare inadmissible to our asylum system those who arrive in the UK having passed through safe countries; and life sentences for people smugglers.",3
People should claim asylum in the first safe country they reach.,4
"I have approved maritime tactics, including boat turnarounds, for Border Force to deploy.",3
"It is an essential element in finding a long-term solution to a problem that successive Home Secretaries have faced As we mourn those who have died in the most horrendous circumstances, I hope that the whole House can come together and send a message that crossing the channel in a small boat is not the way to come to our country.",3
"It is unnecessary, illegal and, above all, desperately unsafe.",2
"What evidence can the Minister share with the House that people smugglers “threaten … bully and assault the people who get into these boats” What evidence is there that asylum seekers, who must know that they are in France, or at the very least in mainland Europe, who are getting into boats, do not know that they are coming to the UK The Home Secretary gives the impression that vulnerable people are being forced against their will into these boats.",3
Surely people traffickers would be only too happy to save money on boats and leave those who had already paid them in mainland Europe?,4
"Is it not the truth that these desperate people, who often speak English and no other European language, and who often have relatives or other people they know in the UK, know that they cannot seek asylum in the UK unless they are in the UK The Home Secretary says that people traffickers “use the money they make for other heinous crimes” What are the heinous crimes to which the Home Secretary is referring?",3
"She also talked about a “wide range of operational and diplomatic work” How can the Home Secretary talk about boat turnarounds the day after at least 27 people lost their lives, given that it is a tactic that can only increase the risk of further tragic deaths On diplomatic work, Ministers have talked about processing asylum claims in places such as Albania and Ascension Island.",3
"Is it not the case that, rather than pointing the finger at the French, who take more asylum seekers per head of population than the UK, or at the people traffickers, whom Clare Moseley of Care4Calais described as a symptom of the problem and not its cause, the Government should look in the mirror?",3
The problem is reducing the UK foreign aid budget.,3
The problem is UK foreign policy failures.,2
The problem with channel crossings is that this Government refuse to allow people to claim asylum unless their feet are on British soil.,2
"Friend the Member for Maidenhead (Mrs May), who have made their point—and, in fact, my point—extremely clearly Instead, I will focus on the integrated review and the merger of the Departments, and what it actually means according to the statements of Her Majesty’s Government compared with the actions on the ground.",3
"My former colleagues in the Ministry of Defence will not like this terribly, but I support the idea of having a Foreign Secretary who is the strategic mind for the British Government overseas, including on the deployment of, for example, carriers.",3
"The same is true, I am afraid, in respect of aid spending; there is a technical expertise here that is not the same as the strategic oversight of foreign policy, which is why I would like to see some of this coming back and being reinforced as the technical skill it really is Let us look at a few examples.",3
"That is not just good for Lebanon, which is facing the crisis of a quarter or a third of its population being migrants—refugees forced over from the Syrian civil war—and nor is it just a good moment for the middle east, because it creates a link into various forms of support into other countries, but it is brilliant for Britain.",3
That applies particularly to immigration and housing.,2
"Brexit was won not because people like me were wittering on about parliamentary sovereignty for many years, but on the issue of immigration, and people in the midlands and the north of England feeling that their Government were out of touch on immigration I welcome the new Bill that is being promoted.",3
"The fact is, though, that there are perhaps a million people in this country whom we do not know about who are here illegally.",2
What really angers people is seeing these daily pictures of illegal crossings on the channel.,2
"I believe that the only way to stop that is to make it a criminal offence to try to enter this country illegally—one that, if proven, would entail a custodial sentence and deportation.",2
"Therefore, we have to commit ourselves to international aid and overseas development.",3
"The language of our politics is important, especially when we are discussing immigration and refugees.",3
I place on record again that it is legal for people to seek sanction or asylum; it is not illegal and we should stop labelling people as illegal This year is the 25th anniversary of Show Racism the Red Card and I am chair of the all-party parliamentary group.,3
"Member for Newcastle upon Tyne Central (Chi Onwurah) where we mentioned that it is important to get the tone and language of our politics right when we are discussing those issues I have seen Show Racism the Red Card at a school in Glasgow South West telling schoolchildren in excellent terms the difference between an asylum seeker, a refugee and an economic migrant.",3
"Again, I hope that the Government will consider giving asylum seekers the right to work in this country after six months, because I think that they should have that right In general, the Government have had some recent difficulties.",3
"It is the reluctance of immigrant women—it is usually women—suffering domestic abuse to go to the police for help because they fear that information will be shared with immigration authorities Last week, the Domestic Abuse Commissioner published a report entitled Safety Before Status, and one of her recommendations is that “the Home Office should introduce a firewall between police and immigration enforcement, accompanied by safe reporting mechanisms” I cannot resist saying that it continues “and funded referral pathways to support.” Perpetrators can use a victim’s insecure status as a component of coercive control.",3
"If victims are to come first, it is essential that they know that they can seek support without putting themselves in danger of deportation.",3
"There are a number of very difficult consequences—that is putting it too mildly The commissioner’s report says: “Immigration abuse and insecure immigration status as a risk factor is not always identified in local safeguarding protocols, and often the risk faced by victims … is misidentified.” She goes on: “Information sharing with immigration enforcement undermines trust in the police and public services”— a point that has been made this evening— “and enables perpetrators to control and abuse survivors with impunity.",3
A key reason why staff in public services share information with immigration enforcement is for the perceived purpose of safeguarding a victim.,3
